index,country_code,client_name,isp_alias,att_subnets
1,US,lighthouse,Amazon,64
2,FI,teku,Hetzner Online GmbH,64
3,JP,prysm,Amazon,64
4,US,nimbus,AT&T,64
5,DE,lighthouse,Hetzner Online GmbH,64
6,JP,lighthouse,Amazon,64
7,US,prysm,Amazon,64
8,GB,nimbus,Hydra Communications Ltd,64
9,GB,lighthouse,OVH SAS,64
10,JP,lighthouse,Amazon,64
11,DE,prysm,netcup GmbH,64
12,DE,prysm,Google LLC,64
13,SG,lighthouse,Amazon,64
14,US,lighthouse,Amazon,64
15,US,prysm,Oracle Corporation,64
16,US,lighthouse,Amazon,64
17,IE,prysm,Amazon,64
18,FR,teku,Amazon,64
19,US,lighthouse,Amazon,64
20,LT,teku,Dedicated servers,64
21,FR,lighthouse,"Akamai Technologies, Inc.",64
22,US,lighthouse,Amazon,64
23,JP,lighthouse,Amazon,64
24,CA,lighthouse,OVH SAS,64
25,SG,lighthouse,OVH SAS,64
26,AT,lighthouse,Nessus GmbH,64
27,US,lighthouse,Amazon,64
28,AU,lighthouse,OVH SAS,64
29,GB,nimbus,Hydra Communications Ltd,64
30,DE,nimbus,Hetzner Online GmbH,64
31,HK,prysm,Google LLC,64
32,CA,lighthouse,TELUS Communications Inc,64
33,US,nimbus,AT&T,64
34,US,lighthouse,Amazon,64
35,IE,prysm,Amazon,64
36,US,lighthouse,Amazon,64
37,CZ,nimbus,Vodafone,64
38,US,lighthouse,Amazon,64
39,US,prysm,"HIVELOCITY, Inc.",64
40,GB,teku,OVH SAS,64
41,AT,teku,UPC Technology,64
42,DE,prysm,Google LLC,64
43,DE,teku,Equinix (EMEA) Acquisition Enterprises B.V.,64
44,JP,lighthouse,Amazon,64
45,DE,prysm,OVH SAS,64
46,US,lighthouse,Amazon,64
47,JP,lighthouse,Amazon,64
48,NL,prysm,Google LLC,64
49,FI,prysm,Hetzner Online GmbH,64
50,US,lighthouse,"Akamai Technologies, Inc.",64
51,US,lighthouse,Amazon,64
52,FI,nimbus,Hetzner Online GmbH,64
53,GB,lighthouse,OVH SAS,64
54,US,lighthouse,AT&T,64
55,GB,teku,G.Network Communications Limited,64
56,GB,teku,OVH SAS,64
57,US,lighthouse,Allnodes Inc,64
58,US,lighthouse,Amazon,64
59,US,lighthouse,Amazon,64
60,NL,teku,WorldStream B.V.,64
61,JP,lighthouse,Amazon,64
62,AU,teku,"DigitalOcean, LLC",64
63,US,lighthouse,Amazon,64
64,LU,nimbus,"Servers.com, Inc.",64
65,FR,lighthouse,"Akamai Technologies, Inc.",64
66,DE,lighthouse,LeaseWeb DE,64
67,NL,prysm,WorldStream B.V.,64
68,US,teku,Latitude.sh,64
69,JP,lighthouse,Amazon,64
70,US,lighthouse,Amazon,64
71,US,lighthouse,OVH SAS,64
72,GB,nimbus,Hydra Communications Ltd,64
73,JP,lighthouse,Amazon,64
74,AU,lighthouse,OVH SAS,64
75,US,prysm,Amazon,64
76,DE,teku,OVH SAS,64
77,JP,lighthouse,Amazon,64
78,DE,lighthouse,LeaseWeb DE,64
79,US,lighthouse,Amazon,64
80,CA,lighthouse,OVH SAS,64
81,CH,prysm,Google LLC,64
82,US,lighthouse,Amazon,64
83,US,lighthouse,Amazon,64
84,DE,prysm,UpCloud Ltd,64
85,US,lighthouse,Amazon,64
86,FR,lighthouse,"Akamai Technologies, Inc.",64
87,US,lighthouse,Amazon,64
88,US,lighthouse,Amazon,64
89,FI,nimbus,Hetzner Online GmbH,64
90,NL,nimbus,FCN,64
91,GB,prysm,UpCloud Ltd,64
92,US,lighthouse,Amazon,64
93,FI,teku,Hetzner Online GmbH,64
94,GB,lighthouse,Leaseweb UK Limited,64
95,IE,lighthouse,Amazon,64
96,FI,teku,Hetzner Online GmbH,64
97,DE,lighthouse,Hetzner Online GmbH,64
98,US,lighthouse,Amazon,64
99,JP,lighthouse,Amazon,64
100,US,lighthouse,Amazon,64
101,DE,lighthouse,Allnodes Inc,64
102,US,lighthouse,"Akamai Technologies, Inc.",64
103,AU,nimbus,Vocus PTY LTD,64
104,JP,lighthouse,Amazon,64
105,US,lighthouse,Amazon,64
106,US,teku,OVH SAS,64
107,US,lighthouse,Amazon,64
108,US,prysm,Amazon,64
109,FR,nimbus,OVH SAS,64
110,US,lighthouse,"Akamai Technologies, Inc.",64
111,US,lighthouse,Amazon,64
112,FR,teku,OVH SAS,64
113,FR,nimbus,OVH SAS,64
114,US,lighthouse,Frontier,64
115,US,lighthouse,Amazon,64
116,MD,prysm,Alexhost SRL,64
117,IE,lighthouse,Amazon,64
118,DE,lighthouse,Hetzner Online GmbH,64
119,GB,teku,Hydra Communications Ltd,64
120,SG,lighthouse,OVH SAS,64
121,MD,nimbus,amplica,64
