Network Penetration,Nimbus,Prysm,Lighthouse,Teku,Lodestar,Unknown
0-9,13.813532903155444,10.137592707664824,31.52252818673023,14.548137099695317,0.1763490137934133,29.801860088960776
10-19,4.150816437720511,29.733009961447863,38.18229980440823,22.378318240867838,5.555555555555555,0.0
20-29,0.38278286564847236,55.705259612964085,4.5574869221669445,39.3544705992205,0.0,0.0
30-39,0.06020753501262152,40.793168778199885,22.868754490254894,23.7778691965326,0.0,12.5
40-49,0,0,0,0,0,0
50-59,0,0,0,0,0,0
60-69,0,0,0,0,0,0
70-79,0,0,0,0,0,0
80-89,0,0,0,0,0,0
90-99,0,0,0,0,0,0
