Node Operator,Total Network Penetration,direct,Stealth Pool,Ledger Live,Lido,Swell,Fireblocks,Enzyme,Coinbase,Rocketpool,StakeHound,Stader - Permissionless,Stader - Permissioned,StakeWise,Octant
Staked.us,0.01978511313122603,0.01937607855232713,0.000409034578898901,0,0,0,0,0,0,0,0,0,0,0,0
Kiln,0.03971504661335951,0.013795520297511854,0,0.015256989792929007,0.009738339474379512,0.0003880301005230115,0.00023657675644422923,0.0002343657587204514,6.522443285144637e-05,0,0,0,0,0,0
Allnodes,0.02624564848010489,0.011057199616612995,0,0,0.009864366344634848,0,0,0,0,0.0034226244764081017,0.0012956446661338162,0.00042893355841290163,0.00017687981790222746,0,0
Kukis Global,0.011056094117751106,0,0,0,0.011056094117751106,0,0,0,0,0,0,0,0,0,0
Stakely,0.011890745758477242,6.63299317133353e-06,0,0,0.011056094117751106,0.0006290288524147964,0,0,0,0,0,0,0.0001989897951400059,0,0
Nethermind,0.011056094117751106,0,0,0,0.011056094117751106,0,0,0,0,0,0,0,0,0,0
Attestant,0.011056094117751106,0,0,0,0.011056094117751106,0,0,0,0,0,0,0,0,0,0
Prysm Team at Offchain Labs,0.011056094117751106,0,0,0,0.011056094117751106,0,0,0,0,0,0,0,0,0,0
Blockdaemon,0.011058305115474884,2.2109977237778435e-06,0,0,0.011056094117751106,0,0,0,0,0,0,0,0,0,0
CryptoManufaktur,0.011881901767582132,0,0,0,0.011056094117751106,0,0,0,0,0,0,0,0.0001437148520455598,0.0006820927977854647,0
HashQuark,0.011685122970165903,0,0,0,0.011056094117751106,0.0006290288524147964,0,0,0,0,0,0,0,0,0
Sigma Prime,0.011056094117751106,0,0,0,0.011056094117751106,0,0,0,0,0,0,0,0,0,0
ChainSafe,0.011054988618889218,0,0,0,0.011054988618889218,0,0,0,0,0,0,0,0,0,0
Stakin,0.011258400409476779,0,0,0,0.011054988618889218,0,0,0,0,0,0,0,0.00020341179058756158,0,0
Simply Staking,0.01069238499218965,0,0,0,0.01069238499218965,0,0,0,0,0,0,0,0,0,0
BridgeTower,0.0101484795521403,0,0,0,0.0101484795521403,0,0,0,0,0,0,0,0,0,0
Figment,0.010506661183392312,0,0.000409034578898901,0,0.01009762660449341,0,0,0,0,0,0,0,0,0,0
Everstake,0.010082149620426965,0,0,0,0.010082149620426965,0,0,0,0,0,0,0,0,0,0
ChainLayer,0.009983760221718851,0,0,0,0.009983760221718851,0,0,0,0,0,0,0,0,0,0
RockX,0.010864842814644322,0.00037144761759467767,0,0,0.009864366344634848,0.0006290288524147964,0,0,0,0,0,0,0,0,0
DSRV,0.010474601716397533,0,0,0,0.009844467365120848,0.0006301343512766853,0,0,0,0,0,0,0,0,0
P2P.ORG - P2P Validator,0.01827831818247143,0.008463699286621584,0,0,0.009814618895849846,0,0,0,0,0,0,0,0,0,0
Consensys,0.00981130239926418,0,0,0,0.00981130239926418,0,0,0,0,0,0,0,0,0,0
Chorus One,0.01026234593491486,0.00047536451061223634,0,0,0.009786981424302624,0,0,0,0,0,0,0,0,0,0
Blockscape,0.010391689301755864,0,0,0,0.009761554950479178,0.0006301343512766853,0,0,0,0,0,0,0,0,0
Twinstake,0.009685275529008842,0.009685275529008842,0,0,0,0,0,0,0,0,0,0,0,0,0
Stakefish,0.018943828497328563,0.009558143159891617,0,0,0.009385685337436946,0,0,0,0,0,0,0,0,0,0
RockLogic GmbH,0.009460859260045392,0,0,0,0.009460859260045392,0,0,0,0,0,0,0,0,0,0
Staking Facilities,0.009286190439866943,0,0,0,0.009286190439866943,0,0,0,0,0,0,0,0,0,0
SenseiNode,0.008103306657645797,0.0002841132075054529,0,0,0.007738492033222452,0,0,0,0,6.63299317133353e-05,0,1.4371485204555982e-05,0,0,0
Ebunker,0.007524025254016,0.0008799770940635817,0,0,0.00663299317133353,0,0,0,0,0,0,1.1054988618889216e-05,0,0,0
RockawayX Infra,0.006082454738112847,2.2109977237778435e-06,0,0,0.006080243740389069,0,0,0,0,0,0,0,0,0,0
Bloxstaking,0.0054976458401736076,0.0054976458401736076,0,0,0,0,0,0,0,0,0,0,0,0,0
A41,0.00555623727985372,0,0,0,0.005162679685021264,0,0,0,0,0,0,0.00020120079286378375,0.00019235680196867238,0,0
ParaFi,0.005161574186159376,0,0,0,0.005161574186159376,0,0,0,0,0,0,0,0,0,0
